objectid,parentid,title,description,type,format,display_template,object_location,image_small,image_thumb
dcb57,,Indiana beer bottle J.M. Reidmiller Fort Wayne IN,no description,record,image/jpg,multiple,,/objects/small/57_1_sm.jpg,/objects/thumbs/57_1_th.jpg
,dcb57,,,,,,/objects/57_1.JPG,/objects/small/57_1_sm.jpg,/objects/thumbs/57_1_th.jpg
,dcb57,,,,,,/objects/57_2.JPG,/objects/small/57_2_sm.jpg,/objects/thumbs/57_2_th.jpg
dcb58,,Indiana beer bottle J.M. Reidmiller Fort Wayne IN,no description,record,image/jpg,multiple,,/objects/small/58_1_sm.jpg,/objects/thumbs/58_1_th.jpg
,dcb58,,,,,,/objects/58_1.JPG,/objects/small/58_1_sm.jpg,/objects/thumbs/58_1_th.jpg
,dcb58,,,,,,/objects/58_2.JPG,/objects/small/58_2_sm.jpg,/objects/thumbs/58_2_th.jpg
dcb59,,Indiana beer bottle J.M. Reidmiller Fort Wayne IN,no description,record,image/jpg,multiple,,/objects/small/59_1_sm.jpg,/objects/thumbs/59_1_th.jpg
,dcb59,,,,,,/objects/59_1.JPG,/objects/small/59_1_sm.jpg,/objects/thumbs/59_1_th.jpg
,dcb59,,,,,,/objects/59_2.JPG,/objects/small/59_2_sm.jpg,/objects/thumbs/59_2_th.jpg
dcb60,,Indiana beer bottle J.M. Reidmiller Fort Wayne IN,no description,record,image/jpg,multiple,,/objects/small/60_1_sm.jpg,/objects/thumbs/60_1_th.jpg
,dcb60,,,,,,/objects/60_1.JPG,/objects/small/60_1_sm.jpg,/objects/thumbs/60_1_th.jpg
,dcb60,,,,,,/objects/60_2.JPG,/objects/small/60_2_sm.jpg,/objects/thumbs/60_2_th.jpg
dcb61,,Indiana beer bottle C.L. Centlivre Brewg. Co.,"Fort Wayne pint, champagne top",record,image/jpg,multiple,,/objects/small/61_1_sm.jpg,/objects/thumbs/61_1_th.jpg
,dcb61,,,,,,/objects/61_1.JPG,/objects/small/61_1_sm.jpg,/objects/thumbs/61_1_th.jpg
,dcb61,,,,,,/objects/61_2.JPG,/objects/small/61_2_sm.jpg,/objects/thumbs/61_2_th.jpg
dcb62,,"Indiana bottle, 'Liquid Dead Shot Insect","Destroyer and Disinfectant', Van Ame Chem.  Co. Mfgs. Fort Wayne IN",record,image/jpg,multiple,,/objects/small/62_1_sm.jpg,/objects/thumbs/62_1_th.jpg
,dcb62,,,,,,/objects/62_1.JPG,/objects/small/62_1_sm.jpg,/objects/thumbs/62_1_th.jpg
,dcb62,,,,,,/objects/62_2.JPG,/objects/small/62_2_sm.jpg,/objects/thumbs/62_2_th.jpg
dcb63,,Indiana beer bottle Hilman Preserving Co.,Terre Haute IN,record,image/jpg,multiple,,/objects/small/63_1_sm.jpg,/objects/thumbs/63_1_th.jpg
,dcb63,,,,,,/objects/63_1.JPG,/objects/small/63_1_sm.jpg,/objects/thumbs/63_1_th.jpg
,dcb63,,,,,,/objects/63_2.JPG,/objects/small/63_2_sm.jpg,/objects/thumbs/63_2_th.jpg
dcb64,,"Indiana beer bottle Hack & Simon Eagle Brewery,",Vincennes IN,record,image/jpg,multiple,,/objects/small/64_1_sm.jpg,/objects/thumbs/64_1_th.jpg
,dcb64,,,,,,/objects/64_1.JPG,/objects/small/64_1_sm.jpg,/objects/thumbs/64_1_th.jpg
,dcb64,,,,,,/objects/64_2.JPG,/objects/small/64_2_sm.jpg,/objects/thumbs/64_2_th.jpg
dcb65,,"Indiana beer bottle Wm Kadow, Michigan City IN,",small chip to top,record,image/jpg,multiple,,/objects/small/65_1_sm.jpg,/objects/thumbs/65_1_th.jpg
,dcb65,,,,,,/objects/65_1.JPG,/objects/small/65_1_sm.jpg,/objects/thumbs/65_1_th.jpg
,dcb65,,,,,,/objects/65_2.JPG,/objects/small/65_2_sm.jpg,/objects/thumbs/65_2_th.jpg
dcb66,,"Indiana beer bottle Henry Stein, Plymouth IN",no description,record,image/jpg,multiple,,/objects/small/66_1_sm.jpg,/objects/thumbs/66_1_th.jpg
,dcb66,,,,,,/objects/66_1.JPG,/objects/small/66_1_sm.jpg,/objects/thumbs/66_1_th.jpg
,dcb66,,,,,,/objects/66_2.JPG,/objects/small/66_2_sm.jpg,/objects/thumbs/66_2_th.jpg
dcb67,,"Indiana beer bottle Henry Stein, Plymouth IN",no description,record,image/jpg,multiple,,/objects/small/67_1_sm.jpg,/objects/thumbs/67_1_th.jpg
,dcb67,,,,,,/objects/67_1.JPG,/objects/small/67_1_sm.jpg,/objects/thumbs/67_1_th.jpg
,dcb67,,,,,,/objects/67_2.JPG,/objects/small/67_2_sm.jpg,/objects/thumbs/67_2_th.jpg
dcb68,,"Lincoln Bitters bottle Fort Wayne IN, with label",no description,record,image/jpg,multiple,,/objects/small/68_1_sm.jpg,/objects/thumbs/68_1_th.jpg
,dcb68,,,,,,/objects/68_1.JPG,/objects/small/68_1_sm.jpg,/objects/thumbs/68_1_th.jpg
